count,faces,points,x-range,y-range
898,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[189, 421], [189, 172], [363, 276], [363, 27], [291, 277], [291, 27], [117, 421], [117, 172]]",246,394
899,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[189, 420], [189, 174], [366, 273], [366, 27], [293, 273], [293, 27], [116, 420], [116, 174]]",250,393
300,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[217, 105], [217, 16], [356, 165], [356, 76], [262, 397], [262, 308], [122, 336], [122, 248]]",234,381
301,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[220, 106], [220, 17], [357, 165], [357, 76], [259, 399], [259, 310], [123, 339], [123, 251]]",234,382
302,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[220, 106], [220, 17], [360, 165], [360, 76], [263, 399], [263, 310], [123, 339], [123, 251]]",237,382
303,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[222, 103], [222, 14], [364, 164], [364, 76], [264, 401], [264, 312], [123, 339], [123, 251]]",241,387
304,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[218, 101], [218, 13], [362, 160], [362, 71], [269, 397], [269, 308], [126, 338], [126, 249]]",236,384
305,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[225, 101], [225, 12], [363, 162], [363, 74], [266, 396], [266, 307], [128, 334], [128, 246]]",235,384
306,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[222, 96], [222, 8], [362, 155], [362, 66], [277, 392], [277, 304], [137, 334], [137, 245]]",225,384
307,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[222, 99], [222, 10], [373, 152], [373, 64], [274, 393], [274, 304], [123, 339], [123, 251]]",250,383
308,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[225, 94], [225, 5], [364, 152], [364, 64], [278, 391], [278, 302], [139, 332], [139, 244]]",225,386
309,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[225, 94], [225, 5], [364, 152], [364, 64], [278, 391], [278, 302], [139, 332], [139, 244]]",225,386
310,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[222, 89], [222, 0], [361, 147], [361, 59], [284, 387], [284, 298], [144, 328], [144, 239]]",217,387
311,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[227, 86], [227, -1], [364, 145], [364, 56], [281, 386], [281, 297], [144, 327], [144, 239]]",220,387
312,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[230, 89], [230, 0], [373, 146], [373, 57], [287, 383], [287, 294], [144, 326], [144, 237]]",229,383
313,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[225, 86], [225, -2], [366, 141], [366, 52], [288, 382], [288, 293], [146, 326], [146, 238]]",220,384
314,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[225, 86], [225, -2], [366, 141], [366, 52], [288, 382], [288, 293], [146, 326], [146, 238]]",220,384
315,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[225, 86], [225, -2], [366, 141], [366, 52], [288, 382], [288, 293], [146, 326], [146, 238]]",220,384
316,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[225, 86], [225, -2], [369, 141], [369, 52], [291, 382], [291, 293], [146, 326], [146, 238]]",223,384
317,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[235, 89], [235, 1], [370, 141], [370, 52], [292, 377], [292, 288], [157, 325], [157, 236]]",213,376
318,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[237, 86], [237, -2], [374, 141], [374, 53], [294, 378], [294, 289], [157, 322], [157, 234]]",217,380
319,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[222, 84], [222, -4], [366, 139], [366, 51], [301, 378], [301, 289], [157, 322], [157, 234]]",209,382
320,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[222, 84], [222, -4], [367, 139], [367, 51], [302, 378], [302, 289], [157, 322], [157, 234]]",210,382
321,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[219, 86], [219, -2], [365, 141], [365, 53], [307, 377], [307, 288], [160, 321], [160, 232]]",205,379
322,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[232, 88], [232, 0], [367, 143], [367, 54], [307, 381], [307, 292], [172, 326], [172, 237]]",195,381
323,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[232, 102], [232, 14], [369, 137], [369, 49], [310, 381], [310, 292], [174, 346], [174, 257]]",195,367
324,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[232, 103], [232, 14], [368, 138], [368, 49], [310, 381], [310, 292], [174, 346], [174, 257]]",194,367
325,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[230, 109], [230, 20], [366, 144], [366, 55], [310, 381], [310, 292], [174, 346], [174, 257]]",192,361
326,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[232, 108], [232, 19], [369, 143], [369, 54], [310, 381], [310, 292], [174, 346], [174, 257]]",195,362
327,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[230, 109], [230, 20], [366, 144], [366, 55], [310, 381], [310, 292], [174, 346], [174, 257]]",192,361
328,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[230, 112], [230, 24], [366, 147], [366, 59], [310, 383], [310, 294], [174, 348], [174, 259]]",192,359
329,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[225, 116], [225, 27], [360, 151], [360, 62], [307, 382], [307, 294], [171, 347], [171, 259]]",189,355
330,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[224, 115], [224, 26], [360, 151], [360, 63], [307, 385], [307, 296], [170, 349], [170, 260]]",190,359
331,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[223, 116], [223, 27], [355, 154], [355, 65], [302, 387], [302, 299], [169, 349], [169, 261]]",186,360
332,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[222, 117], [222, 29], [356, 152], [356, 64], [302, 385], [302, 296], [168, 350], [168, 261]]",188,356
333,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[218, 119], [218, 30], [355, 154], [355, 65], [302, 385], [302, 296], [164, 350], [164, 261]]",191,355
334,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[219, 116], [219, 27], [355, 151], [355, 62], [302, 385], [302, 296], [165, 350], [165, 261]]",190,358
335,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[217, 115], [217, 26], [355, 150], [355, 61], [302, 385], [302, 296], [164, 350], [164, 261]]",191,359
336,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[217, 116], [217, 28], [354, 151], [354, 63], [300, 385], [300, 296], [164, 350], [164, 261]]",190,357
337,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[216, 116], [216, 28], [353, 151], [353, 63], [299, 385], [299, 296], [162, 350], [162, 261]]",191,357
338,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[216, 115], [216, 26], [356, 150], [356, 61], [302, 385], [302, 296], [161, 350], [161, 261]]",195,359
339,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[214, 114], [214, 26], [353, 149], [353, 61], [297, 385], [297, 296], [159, 350], [159, 261]]",194,359
340,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[214, 115], [214, 26], [351, 150], [351, 61], [297, 385], [297, 296], [159, 350], [159, 261]]",192,359
341,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[210, 115], [210, 26], [352, 150], [352, 61], [297, 385], [297, 296], [156, 350], [156, 261]]",196,359
342,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[208, 118], [208, 29], [347, 149], [347, 61], [292, 384], [292, 296], [154, 353], [154, 264]]",193,355
343,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[205, 116], [205, 28], [345, 150], [345, 61], [290, 385], [290, 296], [150, 352], [150, 263]]",195,357
344,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[202, 121], [202, 32], [342, 154], [342, 66], [289, 385], [289, 296], [149, 352], [149, 263]]",193,353
345,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[200, 124], [200, 36], [342, 158], [342, 69], [287, 389], [287, 300], [146, 355], [146, 266]]",196,353
346,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[199, 129], [199, 41], [340, 163], [340, 74], [285, 394], [285, 305], [144, 360], [144, 271]]",196,353
347,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[193, 130], [193, 42], [333, 164], [333, 75], [284, 398], [284, 309], [144, 364], [144, 276]]",189,356
348,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[193, 130], [193, 42], [333, 164], [333, 75], [284, 398], [284, 309], [144, 364], [144, 276]]",189,356
349,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[190, 133], [190, 44], [327, 165], [327, 76], [284, 407], [284, 319], [147, 375], [147, 286]]",180,363
350,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[192, 138], [192, 49], [331, 171], [331, 83], [282, 404], [282, 315], [143, 370], [143, 281]]",188,355
351,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[192, 137], [192, 48], [330, 169], [330, 81], [282, 406], [282, 317], [144, 373], [144, 284]]",186,358
352,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[191, 138], [191, 49], [330, 171], [330, 83], [284, 398], [284, 309], [144, 364], [144, 276]]",186,349
353,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[194, 138], [194, 49], [328, 171], [328, 83], [281, 406], [281, 317], [146, 372], [146, 284]]",182,357
354,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[195, 139], [195, 50], [334, 172], [334, 84], [285, 407], [285, 318], [146, 373], [146, 284]]",188,357
355,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[193, 130], [193, 42], [336, 164], [336, 75], [287, 398], [287, 309], [144, 364], [144, 276]]",192,356
356,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[193, 130], [193, 42], [335, 164], [335, 75], [287, 398], [287, 309], [144, 364], [144, 276]]",191,356
357,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[193, 130], [193, 42], [337, 164], [337, 75], [288, 398], [288, 309], [144, 364], [144, 276]]",193,356
358,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[202, 129], [202, 41], [341, 163], [341, 74], [289, 396], [289, 307], [150, 362], [150, 274]]",191,355
359,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[204, 131], [204, 42], [343, 159], [343, 70], [294, 393], [294, 304], [155, 365], [155, 276]]",188,351
360,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[202, 123], [202, 34], [345, 154], [345, 65], [296, 384], [296, 295], [154, 353], [154, 264]]",191,350
361,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[202, 121], [202, 32], [341, 150], [341, 61], [297, 383], [297, 294], [159, 354], [159, 265]]",182,351
362,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[201, 116], [201, 27], [334, 140], [334, 51], [299, 377], [299, 288], [166, 352], [166, 264]]",168,350
363,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[201, 116], [201, 27], [334, 140], [334, 51], [299, 377], [299, 288], [166, 352], [166, 264]]",168,350
364,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[203, 112], [203, 24], [336, 136], [336, 48], [299, 377], [299, 288], [166, 352], [166, 264]]",170,353
365,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[201, 108], [201, 19], [334, 132], [334, 44], [299, 377], [299, 288], [166, 352], [166, 264]]",168,358
366,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[201, 102], [201, 14], [337, 126], [337, 38], [302, 364], [302, 276], [166, 340], [166, 251]]",171,350
367,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[200, 97], [200, 9], [340, 121], [340, 33], [304, 367], [304, 279], [164, 343], [164, 254]]",176,358
368,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[195, 96], [195, 7], [333, 120], [333, 31], [300, 367], [300, 278], [162, 342], [162, 254]]",171,360
369,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[195, 96], [195, 7], [337, 118], [337, 29], [299, 370], [299, 281], [158, 348], [158, 259]]",179,363
370,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[190, 95], [190, 6], [332, 119], [332, 31], [299, 369], [299, 280], [156, 344], [156, 256]]",176,363
371,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[187, 96], [187, 7], [330, 120], [330, 31], [297, 373], [297, 284], [154, 349], [154, 260]]",176,366
372,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[187, 96], [187, 7], [330, 120], [330, 31], [297, 373], [297, 284], [154, 349], [154, 260]]",176,366
373,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[187, 96], [187, 7], [330, 120], [330, 31], [297, 373], [297, 284], [154, 349], [154, 260]]",176,366
374,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[187, 96], [187, 7], [330, 120], [330, 31], [297, 373], [297, 284], [154, 349], [154, 260]]",176,366
375,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[187, 102], [187, 14], [335, 126], [335, 38], [301, 379], [301, 291], [154, 355], [154, 266]]",181,365
376,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[198, 111], [198, 22], [337, 129], [337, 40], [307, 382], [307, 293], [168, 364], [168, 275]]",169,360
377,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[192, 112], [192, 24], [339, 129], [339, 40], [309, 382], [309, 293], [162, 365], [162, 276]]",177,358
378,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[201, 114], [201, 26], [343, 129], [343, 41], [312, 382], [312, 294], [171, 367], [171, 279]]",172,356
379,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[207, 126], [207, 37], [345, 134], [345, 45], [320, 382], [320, 294], [181, 374], [181, 286]]",164,345
380,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[207, 126], [207, 37], [345, 134], [345, 45], [320, 382], [320, 294], [181, 374], [181, 286]]",164,345
381,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[206, 127], [206, 39], [350, 135], [350, 46], [327, 386], [327, 297], [183, 378], [183, 289]]",167,347
382,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[207, 129], [207, 41], [348, 137], [348, 49], [330, 389], [330, 301], [189, 382], [189, 293]]",159,348
383,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[212, 130], [212, 42], [361, 136], [361, 47], [335, 387], [335, 298], [186, 381], [186, 292]]",175,345
384,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[209, 137], [209, 48], [354, 144], [354, 56], [342, 394], [342, 306], [196, 387], [196, 298]]",158,346
385,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[209, 137], [209, 48], [354, 144], [354, 56], [342, 394], [342, 306], [196, 387], [196, 298]]",158,346
386,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[209, 137], [209, 48], [354, 144], [354, 56], [342, 394], [342, 306], [196, 387], [196, 298]]",158,346
387,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[209, 139], [209, 51], [354, 147], [354, 59], [342, 397], [342, 309], [196, 389], [196, 301]]",158,346
388,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[209, 142], [209, 53], [354, 149], [354, 61], [342, 399], [342, 311], [196, 392], [196, 303]]",158,346
389,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[209, 142], [209, 54], [354, 150], [354, 61], [342, 400], [342, 311], [196, 392], [196, 304]]",158,346
390,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[207, 143], [207, 54], [352, 151], [352, 62], [340, 401], [340, 312], [195, 393], [195, 304]]",157,347
391,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[202, 146], [202, 57], [347, 154], [347, 65], [342, 402], [342, 313], [196, 394], [196, 305]]",151,345
392,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[206, 148], [206, 59], [351, 156], [351, 67], [343, 402], [343, 313], [198, 394], [198, 305]]",153,343
393,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[202, 150], [202, 62], [347, 158], [347, 69], [342, 402], [342, 313], [196, 394], [196, 305]]",151,340
394,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[201, 149], [201, 61], [346, 157], [346, 69], [341, 401], [341, 312], [196, 393], [196, 304]]",150,340
395,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[201, 149], [201, 61], [340, 157], [340, 69], [335, 401], [335, 312], [196, 393], [196, 304]]",144,340
396,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[201, 149], [201, 61], [340, 157], [340, 68], [335, 401], [335, 312], [196, 393], [196, 304]]",144,340
397,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[201, 149], [201, 61], [340, 157], [340, 68], [335, 401], [335, 312], [196, 393], [196, 304]]",144,340
398,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[193, 144], [193, 55], [334, 151], [334, 63], [337, 393], [337, 304], [196, 385], [196, 297]]",144,338
399,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[185, 143], [185, 54], [324, 150], [324, 61], [340, 391], [340, 302], [201, 383], [201, 295]]",155,337
400,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[185, 143], [185, 54], [324, 150], [324, 61], [340, 391], [340, 302], [201, 383], [201, 295]]",155,337
401,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[185, 137], [185, 48], [320, 144], [320, 56], [335, 389], [335, 300], [200, 381], [200, 293]]",150,341
402,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[182, 139], [182, 50], [318, 146], [318, 57], [334, 387], [334, 298], [198, 380], [198, 291]]",152,337
403,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[184, 137], [184, 48], [315, 144], [315, 55], [330, 388], [330, 300], [199, 381], [199, 293]]",146,340
404,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[177, 136], [177, 47], [312, 143], [312, 55], [331, 386], [331, 298], [196, 379], [196, 290]]",154,339
405,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[177, 136], [177, 47], [312, 143], [312, 55], [331, 386], [331, 298], [196, 379], [196, 290]]",154,339
406,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[177, 136], [177, 47], [312, 143], [312, 55], [331, 386], [331, 298], [196, 379], [196, 290]]",154,339
407,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[174, 138], [174, 50], [312, 145], [312, 57], [331, 392], [331, 303], [192, 385], [192, 296]]",157,342
408,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[172, 140], [172, 52], [312, 147], [312, 59], [330, 396], [330, 308], [191, 389], [191, 300]]",158,344
409,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[168, 144], [168, 55], [310, 151], [310, 62], [330, 396], [330, 308], [187, 389], [187, 300]]",162,341
410,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[169, 148], [169, 59], [310, 155], [310, 66], [330, 403], [330, 314], [188, 396], [188, 307]]",161,344
411,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[169, 151], [169, 62], [311, 158], [311, 70], [330, 403], [330, 315], [188, 396], [188, 307]]",161,341
412,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[169, 151], [169, 63], [311, 159], [311, 70], [330, 409], [330, 320], [187, 402], [187, 313]]",161,346
413,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[158, 160], [158, 72], [300, 165], [300, 76], [329, 413], [329, 324], [186, 408], [186, 319]]",171,341
414,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[168, 156], [168, 67], [315, 163], [315, 75], [333, 415], [333, 326], [186, 407], [186, 319]]",165,348
415,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[159, 168], [159, 79], [301, 153], [301, 64], [340, 404], [340, 315], [197, 419], [197, 330]]",181,355
416,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[159, 168], [159, 79], [301, 153], [301, 64], [340, 404], [340, 315], [197, 419], [197, 330]]",181,355
417,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[159, 168], [159, 79], [301, 153], [301, 64], [340, 404], [340, 315], [197, 419], [197, 330]]",181,355
418,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[159, 168], [159, 79], [301, 153], [301, 64], [340, 404], [340, 315], [197, 419], [197, 330]]",181,355
419,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[159, 168], [159, 79], [301, 153], [301, 64], [340, 404], [340, 315], [197, 419], [197, 330]]",181,355
420,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[159, 168], [159, 79], [301, 153], [301, 64], [340, 404], [340, 315], [197, 419], [197, 330]]",181,355
421,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[159, 168], [159, 79], [301, 153], [301, 64], [340, 404], [340, 315], [197, 419], [197, 330]]",181,355
422,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[159, 168], [159, 79], [301, 153], [301, 64], [340, 404], [340, 315], [197, 419], [197, 330]]",181,355
423,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[159, 168], [159, 79], [301, 153], [301, 64], [340, 404], [340, 315], [197, 419], [197, 330]]",181,355
424,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[159, 168], [159, 79], [301, 153], [301, 64], [340, 404], [340, 315], [197, 419], [197, 330]]",181,355
425,"[[0, 1, 3, 2], [0, 1, 7, 6], [2, 3, 5, 4], [4, 5, 7, 6]]","[[159, 168], [159, 79], [301, 153], [301, 64], [340, 404], [340, 315], [197, 419], [197, 330]]",181,355
